logf, loghc
-5.924639575973984, -13.060728170578576
-5.9110834747489855, -13.065901791751184
-5.897527373523988, -13.07107541292379
-5.883971272298989, -13.076249034096397
-5.870415171073992, -13.081422655269005
-5.856859069848994, -13.086596276441611
-5.8432802107596, -13.09953032937313
-5.832401951578488, -13.11505119289095
-5.821531278352174, -13.127985245822467
-5.810660605125861, -13.140919298753985
-5.799782345944749, -13.156440162271807
-5.788904086763637, -13.171961025789626
-5.778040999492122, -13.182308268134841
-5.769893684038486, -13.19006869989375
-5.756329996858689, -13.19782913165266
-5.745466909587174, -13.208176373997876
-5.737319594133538, -13.215936805756787
-5.723755906953741, -13.223697237515696
-5.712892819682226, -13.234044479860911
-5.702029732410711, -13.244391722206124
-5.6857199295938425, -13.265086206896552
-5.674856842322328, -13.275433449241767
-5.663986169096014, -13.288367502173283
-5.653107909914902, -13.303888365691105
-5.64222965073379, -13.319409229208926
-5.634074749325355, -13.32975647155414
-5.623211662053841, -13.340103713899353
-5.609655560828842, -13.34527733507196
-5.596099459603844, -13.350450956244567
-5.577126986652686, -13.355624577417174
-5.560862699564607, -13.360798198589782
-5.541890226613449, -13.365971819762388
-5.5310423112515315, -13.371145440934995
-5.520194395889614, -13.376319062107601
-5.5066307087098165, -13.384079493866512
-5.4957676214383016, -13.394426736211727
-5.484904534166787, -13.40477397855694
-5.4740262749856745, -13.420294842074762
-5.4631631877141595, -13.430642084419976
-5.452300100442645, -13.44098932676519
-5.444152784989009, -13.4487497585241
-5.430589097809213, -13.45651019028301
-5.419741182447295, -13.461683811455618
-5.408893267085377, -13.466857432628224
-5.392644151906895, -13.466857432628224
-5.38454235218205, -13.459097000869313
-5.3710090088214475, -13.45651019028301
-5.360115577730739, -13.477204674973438
-5.3492145606852315, -13.50048597025017
-5.338343887458918, -13.513420023181688
-5.327480800187403, -13.523767265526901
-5.319348656643363, -13.526354076113204
-5.30582289923756, -13.521180454940598
-5.292297141831756, -13.51600683376799
-5.273267774219608, -13.540581534337873
-5.262378136106299, -13.55998261373515
-5.246098677108623, -13.570329856080363
-5.235220417927511, -13.585850719598184
-5.224342158746399, -13.601371583116006
-5.213486657429683, -13.609132014874916
-5.20271460161575, -13.588437530184487
-5.175591020233557, -13.602664988409158
-5.164659659368855, -13.636293526031103
-5.156538894757014, -13.635000120737951
-5.132157636034493, -13.637586931324254
-5.121290755785579, -13.64922757896262
-5.11039353171747, -13.6712154689462
-5.094114072719795, -13.681562711291413
-5.077899094337908, -13.669922063653047
-5.067115659591777, -13.653107794842075
-5.0562449863654635, -13.666041847773593
-5.023708826234509, -13.67897590070511
-5.01302021592336, -13.629826499565343
-5.00224057415463, -13.61171882546122
-4.991487483227694, -13.584557314305032
-4.980704048481563, -13.56774304549406
-4.969931992667631, -13.547048560803633
-4.959129593034504, -13.536701318458418
-4.948330986378777, -13.525060670820052
-4.932070492268098, -13.528940886699507
-4.921184647132187, -13.547048560803633
-4.91023052840309, -13.588437530184487
-4.8993181324253845, -13.615599041340674
-4.888379185605884, -13.651814389548923
-4.877421273899388, -13.694496764222931
-4.866478534102487, -13.732005517724332
-4.855490278576797, -13.785035134743554
-4.844627191305282, -13.795382377088767
-4.833775482965965, -13.801849403554526
-4.822942739513644, -13.801849403554526
-4.812011378648942, -13.835477941176471
-4.801174842219222, -13.836771346469623
-4.790243481354521, -13.870399884091569
-4.782073408036489, -13.88592074760939
-4.768486962992297, -13.90144161112721
-4.757510086398803, -13.950591012266976
-4.7466659640142845, -13.954471228146431
-4.7357877048331725, -13.969992091664253
-4.724833586104075, -14.011381061045109
-4.716682477673039, -14.02043489809717
-4.703122583470642, -14.02690192456293
-4.692259496199127, -14.037249166908143
-4.681331928311825, -14.069584299236936
-4.671702823020873, -13.966974145980231
-4.660125391672495, -13.913082258765575
-4.6494102305195515, -13.872986694677872
-4.638638174705619, -13.852292209987443
-4.627714399795716, -13.883333937023085
-4.622097000267394, -13.951884417560128
-4.611180811312289, -13.980339334009466
-4.6028855697400815, -14.038542572201294
-4.5945372264842845, -14.114853484497248
-4.583640002416176, -14.136841374480827
-4.572845188737848, -14.12390732154931
-4.561936585737541, -14.149775427412346
-4.551043154646832, -14.170469912102773
-4.540134551646526, -14.196338017965807
-4.529180432917428, -14.237726987346663
-4.518249072052727, -14.271355524968609
-4.507427707532604, -14.267475309089154
-4.496678409583067, -14.239020392639816
-4.488853497208369, -14.136841374480827
-4.488686606202801, -14.193751207379504
-4.480990655059678, -14.047596409253357
-4.470351353454721, -13.981632739302619
-4.4595072310702015, -13.985512955182074
-4.451158887814405, -14.061823867478026
-4.445583211037475, -14.1161468897904
-4.439960501340794, -14.186508137737855
-4.409895086687724, -14.28040936202067
-4.399104065986796, -14.266181903796001
-4.388263736579677, -14.268768714382306
-4.361219807722867, -14.255834661450788
-4.350637400778899, -14.170469912102773
-4.345767217798233, -13.984219549888921
-4.348240239062559, -14.06441067806433
-4.348073348056991, -14.121320510963006
-4.335017919848696, -13.955764633439584
-4.326703713389493, -14.02043489809717
-4.320786668646628, -14.191164396793202
-4.312510391961417, -14.242900608519271
-4.301579031096715, -14.276529146141215
-4.290734908712196, -14.28040936202067
-4.279860442508483, -14.29463682024534
-4.268857015073195, -14.352840058437168
-4.2606338400715735, -14.386468596059114
-4.253066850160026, -14.196338017965807
-4.255482976763362, -14.295930225538491
-4.250730376082075, -14.069584299236936
-4.250563485076507, -14.126494132135614
-4.245571926819064, -13.981632739302619
-4.23465573786396, -14.010087655751956
-4.229049717267836, -14.074757920409544
-4.228882826262268, -14.131667753308221
-4.228640075708714, -14.214445692069932
-4.220231044814529, -14.311451089056312
-4.20923141035664, -14.36836092195499
-4.198277291627543, -14.409749891335846
-4.187345930762841, -14.443378428957791
-4.1817740469633105, -14.496408045977013
-4.17119922597414, -14.408456486042693
-4.168862751896189, -14.281702767313822
-4.168695860890621, -14.3386126002125
-4.152613636717707, -14.281702767313822
-4.15239364402855, -14.356720274316624
-4.146780037477627, -14.423977349560515
-4.138499967815017, -14.477006966579737
-4.1275951577921095, -14.501581667149619
-4.115756011003182, -14.536934745162434
-4.106085182960838, -14.448552050130397
-4.095521740903866, -14.356720274316624
-4.08466244660975, -14.365774111368687
-4.07366660512926, -14.421390538974212
-4.062754209151555, -14.448552050130397
-4.0526383384276965, -14.511928909494832
-4.046580953521059, -14.422683944267362
-4.044013107821752, -14.374827948420748
-4.037390569282623, -14.170469912102773
-4.028370869027155, -14.16788310151647
-4.028203978021587, -14.224792934415145
-4.027968813422832, -14.304984062590554
-4.02047641873347, -14.397246973502044
-4.008692902279732, -14.413630107215301
-4.003094467638406, -14.475713561286584
-4.0002345626793545, -14.527449773012654
-3.9924210292368545, -14.421390538974212
-3.9877632529905487, -14.162709480343862
-3.9902438602096724, -14.240313797932966
-3.9900769692041047, -14.297223630831644
-3.9899100781985366, -14.35413346373032
-3.9795719389990807, -14.185473413503333
-3.9794111167573516, -14.240313797932966
-3.979175952158597, -14.320504926108375
-3.9706796827842274, -14.447258644837246
-3.97139781983849, -14.510204369103963
-3.9598165955127125, -14.45760588718246
-3.9569263467344675, -14.519689341253743
-3.9481418110777535, -14.436911402492031
-3.937645378288168, -14.322229466499245
-3.9275042210483146, -14.394229027818024
-3.9164742427712316, -14.461486103061915
-3.9069121467476675, -14.336025789626195
-3.894582441548434, -14.230828825783188
-3.8872265940454453, -14.276529146141215
-3.8815371279465376, -14.369654327248142
-3.8759993809436004, -14.411043296628996
-3.8708636895449864, -14.315331304935768
-3.8657886857847603, -14.19892482855211
-3.8580775627320403, -14.05794365159857
-3.855198692885993, -14.1161468897904
-3.8550393878352236, -14.170469912102773
-3.8492968200527256, -14.281702767313822
-3.8472840133795123, -14.352408923339452
-3.8435314944058323, -14.400696054283783
-3.8358715765480027, -14.242253905872694
-3.825272101205737, -14.162709480343862
-3.81421177910946, -14.240313797932966
-3.8149299161637225, -14.303259522199685
-3.80332214099615, -14.259714877330243
-3.7978185307898067, -14.289463199072733
-3.7918509130149523, -14.169607641907339
-3.795315165706287, -14.21961931324254
-3.7845393169149553, -14.200218233845263
-3.778906745477036, -14.273942335554912
-3.7706115039048287, -14.332145573746741
-3.760389429813791, -14.12390732154931
-3.7602301247630217, -14.178230343861683
-3.751741441343451, -14.302397252004251
-3.748839813633008, -14.36836092195499
-3.7459912876061545, -14.416216917801604
-3.7408821470493354, -14.311451089056312
-3.730159399941593, -14.273942335554912
-3.721852779437188, -14.336025789626195
-3.722560801885052, -14.402420594674652
-3.711088309578054, -14.312744494349465
-3.7135234010683864, -14.40586967545639
-3.704885527204444, -14.273080065359478
-3.694786092715983, -14.330852168453589
-3.68823913276355, -14.408552293842186
-3.6916910231581768, -14.462779508355066
-3.6914710304690193, -14.537797015357867
-3.667279209895496, -14.475785417136205
-3.6644043437478144, -14.532623394185261
-3.6508634144324135, -14.532623394185261
-3.64270092706918, -14.545557447116778
-3.623596964234847, -14.595569118451978
-3.626087686060369, -14.669724355259346
-3.601979521710596, -14.579185984738723
-3.601812630705028, -14.6360958176374
-3.6025585829268847, -14.68955656975434
-3.590419032327935, -14.519516887214657
-3.5795301528101047, -14.538659285553303
-3.582916017301855, -14.615401332946973
-3.5725460170922454, -14.45760588718246
-3.5723032665386922, -14.540383825944172
-3.565000520719294, -14.567976472198076
-3.5590202596864415, -14.452432266009852
-3.558853368680874, -14.50934209890853
-3.553266312971746, -14.567545337100357
-3.547158355033118, -14.495545775781578
-3.541850209595417, -14.581772795325026
-3.540184333921657, -14.411043296628996
-3.537294085143412, -14.473126750700281
-3.5316899610359873, -14.537150312711292
-3.528805401723841, -14.597293658842847
-3.5210980716485203, -14.455019076596157
-3.5158258330635324, -14.40586967545639
-3.512935584285287, -14.467953129527674
-3.5127686932797193, -14.52486296242635
-3.5060045502510175, -14.368792057052707
-3.4952764929749165, -14.33309407096172
-3.4895215347995814, -14.140721590360283
